"project_status";"id";"naam";"startdatum";"ministerie";"peildatum.a";"rapportage_herijking.a";"actueel_einddatum.a";"daadwerkelijk_totaal_projectkosten.a";"actueel_totaal_projectkosten.a";"peildatum.z";"rapportage_herijking.z";"actueel_einddatum.z";"daadwerkelijk_totaal_projectkosten.z";"actueel_totaal_projectkosten.z";"doorlooptijd.z";"hex";"col";"verschil_abs";"verschil_per"
"In uitvoering";"320750";"Wettelijk Beoordelings Instrument Waterkeringen";2012-01-01;"Infrastructuur en Milieu";2018-12-31;"Initieel";2018-12-31;0;11,2;2018-12-31;"Rapportage";2018-12-31;12,1;12,8;2556;"#A2A419";"moss green";0,9;8,03571428571429
"In uitvoering";"300726";"Rationalisatie overige middelen Aangifte";2014-05-01;"Financiën";2016-09-01;"Initieel";2016-09-01;0;9,9;2017-12-31;"Herijking";2017-12-31;10,03;15,37;1340;"#A2A419";"moss green";0,129999999999999;1,3131313131313
"In uitvoering";"258954";"Digitale Taken Rijksarchieven (DTR)";2014-01-01;"Onderwijs, Cultuur en Wetenschap";2015-12-31;"Initieel";2015-12-31;0;28,01;2017-01-27;"Rapportage";2017-01-27;20,1;28;1122;"#A2A419";"moss green";-7,91;-28,2399143163156
"In uitvoering";"407860";"Programma Regie Modernisering IV-landschap";2014-12-15;"Financiën";2017-12-31;"Initieel";2017-12-31;0;135;2020-12-31;"Rapportage";2020-12-31;58,1;135;2208;"#A2A419";"moss green";-76,9;-56,962962962963
"In uitvoering";"300674";"Rationalisatie Auto";2013-11-22;"Financiën";2017-03-31;"Initieel";2017-03-31;0;17,5;2017-12-31;"Rapportage";2017-12-31;5,45;11,56;1500;"#A2A419";"moss green";-12,05;-68,8571428571429
"In uitvoering";"318399";"Vervanging AAA computers";2015-01-05;"Infrastructuur en Milieu";2016-12-31;"Initieel";2016-12-31;0,1;6,4;2017-06-01;"Rapportage";2017-06-01;8,2;8,9;878;"#A2A419";"moss green";1,8;28,125
"In uitvoering";"299793";"Rationalisatie Poort";2015-01-01;"Financiën";2017-12-31;"Initieel";2017-12-31;0;3,4;2016-12-31;"Rapportage";2016-12-31;3,17;3,17;730;"#A2A419";"moss green";-0,23;-6,76470588235294
"In uitvoering";"297706";"Programma Krachtig Leraarschap en Lerarenregister";2016-09-22;"Onderwijs, Cultuur en Wetenschap";2018-12-31;"Initieel";2018-12-31;0;0;2018-12-31;"Rapportage";2018-12-31;0;16,65;830;"#A2A419";"moss green";0;0
"In uitvoering";"296361";"Vervangingsinvesteringen WNZ/WNN (VIT II)";2015-09-28;"Infrastructuur en Milieu";2018-12-31;"Initieel";2018-12-31;0;0;2018-12-31;"Rapportage";2018-12-31;0;0;1190;"#A2A419";"moss green";0;0
"In uitvoering";"296711";"ZN A Cluster Natte Centrales (voorheen Brugman)";2012-09-01;"Infrastructuur en Milieu";2015-12-31;"Initieel";2015-12-31;0;0;2017-06-30;"Rapportage";2017-06-30;0;0;1763;"#A2A419";"moss green";0;0
"In uitvoering";"299691";"Roadmap Inning";2014-07-01;"Financiën";2020-12-31;"Initieel";2020-12-31;0;26;2020-12-31;"Herijking";2020-12-31;21,77;21,77;2375;"#A2A419";"moss green";-4,23;-16,2692307692308
"In uitvoering";"410612";"Vervanging TOP-Suite";2015-09-01;"Financiën";2017-04-01;"Initieel";2017-04-01;0;7,67;2017-10-01;"Rapportage";2017-10-01;2,62;7,67;761;"#A2A419";"moss green";-5,05;-65,8409387222947
"In uitvoering";"255227";"Zelfbediening Justitiabelen (ZBJ)";2013-07-01;"Veiligheid en Justitie";2017-12-31;"Initieel";2017-12-31;1,08;9,79;2017-12-31;"Rapportage";2017-12-31;6,91;19,97;1644;"#A2A419";"moss green";-2,88;-29,417773237998
"In uitvoering";"298602";"Programma eDienstverlening Uitvoering (eDU)";2012-10-01;"Economische Zaken";2016-12-31;"Initieel";2016-12-31;0;20,24;2017-10-31;"Rapportage";2017-10-31;18,34;21,72;1856;"#A2A419";"moss green";-1,9;-9,38735177865612
"In uitvoering";"297592";"Programma Erfgoed Digitaal";2015-06-01;"Onderwijs, Cultuur en Wetenschap";2017-12-31;"Initieel";2017-12-31;0;15;2017-04-01;"Rapportage";2017-04-01;1,31;8,5;670;"#A2A419";"moss green";-13,69;-91,2666666666667
"In uitvoering";"298901";"CaRMen";2013-03-01;"Economische Zaken";2015-09-28;"Initieel";2015-09-28;0;6,44;2017-06-15;"Rapportage";2017-06-15;8,84;9,59;1567;"#A2A419";"moss green";2,4;37,2670807453416
"In uitvoering";"160191";"Programma iDiplomatie (voorheen Digitalisering)";2012-07-09;"Buitenlandse Zaken";2015-01-01;"Initieel";2015-01-01;0;27,76;2017-04-01;"Rapportage";2017-04-01;36,62;39;1727;"#A2A419";"moss green";8,86;31,9164265129683
"In uitvoering";"297491";"Vervangen Gefis";2014-10-01;"Onderwijs, Cultuur en Wetenschap";2016-12-31;"Initieel";2016-12-31;0;7,8;2017-04-01;"Rapportage";2017-04-01;8;7,8;913;"#A2A419";"moss green";0,2;2,56410256410257
"In uitvoering";"160181";"Vervanging Aangiftesystemen (AGS)";2008-10-01;"Financiën";2011-12-31;"Initieel";2011-12-31;0;25,5;2017-06-30;"Rapportage";2017-06-30;49,5;50,6;3194;"#A2A419";"moss green";24;94,1176470588235
"In uitvoering";"412459";"Programma Dienstverlening Instellingen (PDI)";2016-01-01;"Onderwijs, Cultuur en Wetenschap";2019-12-31;"Initieel";2019-12-31;0;16,5;2019-12-31;"Rapportage";2019-12-31;6,1;16,8;1460;"#A2A419";"moss green";-10,4;-63,030303030303
"Nog niet gestart";"413754";"Kern Gezond";2017-01-01;"Economische Zaken";2019-12-31;"Initieel";2019-12-31;0;34,7;2019-12-31;"Initieel";2019-12-31;0;34,7;1094;"#00BCDF";"light blue";-34,7;-100
"Nog niet gestart";"321992";"Basisregistratie Ondergrond (BRO)";2016-05-01;"Infrastructuur en Milieu";2021-12-31;"Initieel";2021-12-31;0;11,44;2021-12-31;"Rapportage";2021-12-31;0;11,44;2070;"#00BCDF";"light blue";-11,44;-100
"Nog niet gestart";"407322";"CivMiI Voice Communication System";2017-03-02;"Infrastructuur en Milieu";2019-03-29;"Initieel";2019-03-29;0;20,5;2019-03-29;"Initieel";2019-03-29;0;20,5;757;"#00BCDF";"light blue";-20,5;-100
"Nog niet gestart";"296611";"Zuidas Dok";2017-12-31;"Infrastructuur en Milieu";2028-12-31;"Rapportage";2028-12-31;0;0;2028-12-31;"Initieel";2028-12-31;0;0;4018;"#00BCDF";"light blue";0;0
